Symbol,Feed_ID,Publisher_Count
1330/JPY,775e348785da6800e0a3b0f7d893c50cd764478e55f2ddd4e9bc02081f23ad24,24258
NZD/JPY,40f3b8fa7d81f3087ebbe2fd2ad56cd9fa10327e262ca98f3cefdcbf92f94f2f,24258
LR/EUR,09d6b6cf7d9ed113eed92398ec7c83a554739d08f0948660578d202927838b8f,24258
CBDOGE/USD,7eab5e260e42d81013207e623be60c66c9c55bfe0ace4797ad00d1c5a1335eae,24258
BNZL/GBP,ea48f26a559f137aa0f530a5bbf9467b2c0a5a44df7819c56717464e7bef0ec2,60923
MELI/USD,5c149158ad0cca240ab13e45d93f43d7eb747a25acf5a9313b5b03c0aa87251b,60923
LQTY/USD,5e8b35b0da37ede980d8f4ddaa7988af73d8c3d110e3eddd2a56977beb839b63,33408
USD/TRY,032a2eba1c2635bf973e95fb62b2c0705c1be2603b9572cc8d5edeaf8744e058,30757
PARA/USD,d31273eefefa4e9a3458c593f2a9a284f011db9884867c682d02c84e70b55ec2,33408
WSTKSCETH/SCETH,b680422b70915df562e4802bd8679112ff0f6b0a29ec2c3762ae2720eda01e58,33408
ETR/USD,dd3baa1ebafa53b0a8b1e208f2e8df9dfed597f8b93d0fead0e84d8f4a0336d9,2211
BIIB/USD,1fba752348cffe265d87fd24eb641664234a089ff11947ac8d1bcfaa9430c453,6553
BX/USD,9b25e42163e85658664651dac0915b2e0474fe6f5e19541e48ba2356f11a9f32,62434
HK.2382/HKD,197a2508fa860c35d51ac848057e21650f0794abde44eef16abbd967a06fc5bf,62434
KQ.443060/KRW,d6a137f78a305a5232fa462f302776612a81856d2b1e59611467a43b6a539912,1321
FRAGSOL/SOL,a2fb411b17979013bcc86178ce28b4bea66f890d4efdb6fd9a645dbbbdb076fc,1321
KQ.021240/KRW,275195d3277e14bd58df6944845ad25b9d24925d98fd2a5de4bbd82a5d86ac45,1321
SAND/USD,cb7a1d45139117f8d3da0a4b67264579aa905e3b124efede272634f094e1e9d1,50866
SAMO/USD,49601625e1a342c1f90c3fe6a03ae0251991a1d76e480d2741524c29037be28a,27514
MCHP/USD,1f1a9da5ed94f81694aaf250155adc7c6cde842e4a3ee6e6b4cb6fc23c85667b,50866
ALGO/USD,fa17ceaf30d19ba51112fdcc750cc83454776f47fb0112e4af07f15f4bb1ebc0,20554
MRK/EUR,4c462059d3d171f225b9994c1a5fd730723650a3b205acfdf2abc06a18bd2bde,47026
XAI/USD,f7ac0d8fdf22640d39de13816cd0942aa6cf3874b95028d9a602056e1dc95e96,47026
STREAM/USD,c862498a45ba1309fe2b31e9af28d903f526311e85e4b77e37e379a6b134dc47,47026
KQ.086280/KRW,120019c9a18e419a6a00a71448efa5ccf27eb4bd129392f487c2d6f4fc43513f,25301
HOODX/HOOD,d88c382daa11f3a377796bc3f9318e7fbffd69c5bbceb5e58548670a7ad23e7f,59264
SIGN/USD,64762254a3b5c7598b6b721dda6881991ba2cdf6c9a87f8d2ee7a40bb693f2ec,55203
HIK/GBP,5a4159cbc9d623070fd6f70b9edb7bc4fdc9dcd1d9be2a30e9bb02fdce8eb09a,55203
APTV/USD,169b68eb05ce4bac2eac0a70b7eafd1abf78bd5d8c6f769e1668bf011308e4e8,16324
VT/USD,b167b163565d841b1477cb942bf3b2d28214f3eedf343de7536d6e5b6250d45b,16324
KQ.402340/KRW,38897dddf8d037afcae61a5ed4a546924a3f717121158c45abf7b539f2bf9c13,16324
OBFR %,af83c3680722a0b0139414679efade7265f9f7e8e4aa91d233ca1d0a3aabaac6,16324
J/USD,04ac3a2e7287b5fe9733a415bc7c81d4d4ffdfebc3b7d726b9552623444f8036,9991
KHYPE/HYPE,983b7cabc6fab548e15a5b05500da9b99c1682107b3e2ff289344116c10ac02c,62453
SY1/EUR,4e100b5aeb1eb842ce6aca88cb5ec1a691a4b279d7b3cc481928c4237196076a,62453
MSTRX/MSTR,342df7ea9b8db28630933d55d0c9c1119525eb5be58d499ecc4e88faf061083a,45255
AAL/GBP,6933a1dfe481cefd8f6d96c53e8d3260af5848f6793bc2c2bf0f9ef9a9ecd999,44860
CARR/USD,98057002daf66705e7542c2934f246bed459c2deeacc465f2f2b137649faa5be,2291
MATICX/MATIC,a6a9e999d34b0c2a34c2cdc0a5f6922e375853109e2386426f8a9ec682692a6c,2291
FARTCOIN/USD,58cd29ef0e714c5affc44f269b2c1899a52da4169d7acc147b9da692e6953608,22584
RIO/GBP,d21c420077ba3c132b9f9f5615786db26cf5dcd334fab5475d600416b194eda2,22584
